e ,For Pages and Posts,"For Video Content, Social, Etc.",Content Type,,,"(Steve's Note: No state homepage, 2 gray divorce)",,Idealized URL Structure,for MSV?,From WordPress - what exists now,"Future URL Should Be This Based on 
Idealized URL Structure. Fill all of this out.",for MSV? based on Target Seedword?,WP Post or Page ID,WP Post Type (Page/Post),WP Publish Status,WP Page/Post Title,WP Slug,WP PLUGIN - Custom URL,WP Permalink,WP Parent ID,WP Parent Slug,WP PLUGIN - Meta Title - like Yoast `_yoast_wpseo_title`,WP PLUGIN - Meta Description - like Yoast `_yoast_wpseo_metadesc`,WP Page/Post Excerpt,WP PLUGIN - Index/No Index Status - like Yoast  `_yoast_wpseo_meta-robots-noindex`,WP Page/Post Categories,WP Page/Post Tags,WP Page/Post Modifed Date,Prompt for Keyword Intent and AI Overview,,
234,Phase 11,Phase 22,Supporting Content,Adoption Supporting Content,Procedure Content,Reverse or Vacate an Adoption in {state},,.com/{state}/adoption/reverse-vacate-orders/,reverse adoption in {state},,,,,,,,,,,,,,,,,,,,Purchase,No,60
235,Phase 09,Phase 9,Supporting Content,Adoption Supporting Content,Situational Content,Domestic Adoption in {state},,.com/{state}/adoption/domestic/,domestic adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
236,Phase 10,Phase 29,Supporting Content,Adoption Supporting Content,Situational Content,International Adoption in {state},,.com/{state}/adoption/international/,international adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
237,Phase 06,Phase 9,Supporting Content,Adoption Supporting Content,Situational Content,Foster Care Adoption in {state},,.com/{state}/adoption/foster-care/,foster care adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,400
238,Phase 08,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Relative (Kinship) Adoption in {state},,.com/{state}/adoption/kinship/,kinship adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,250
239,Phase 04,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Stepparent Adoption in {state},,.com/{state}/adoption/stepparent/,stepparent adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,800
240,Phase 08,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Adult Adoption in {state},,.com/{state}/adoption/adult/,adult adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
241,Phase 09,Phase 25,Supporting Content,Adoption Supporting Content,Situational Content,Embryo Adoption in {state},,.com/{state}/adoption/embryo/,embryo adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
242,Phase 11,Phase 28,Supporting Content,Adoption Supporting Content,Situational Content,LGBT Adoption in {state},,.com/{state}/adoption/lgbt/,LGBT adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,60
243,Phase 10,Phase 25,Supporting Content,Adoption Supporting Content,Situational Content,Single Parent Adoption in {state},,.com/{state}/adoption/single-parent/,single parent adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,90
244,Phase 09,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Preparing Your Family for Adoption,,.com/{state}/adoption/preparing-family/,preparing for adoption,,,,,,,,,,,,,,,,,,,,Research,Yes,200
245,Phase 09,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Attachment & Bonding Strategies,,.com/{state}/adoption/attachment-and-bonding-strategies/,adoption bonding strategies,,,,,,,,,,,,,,,,,,,,Research,Yes,150
246,Phase 06,Phase 10,Supporting Content,Adoption Supporting Content,Situational Content,Talking about Adoption,,.com/{state}/adoption/talking-about/,how to talk to your child about adoption,,,,,,,,,,,,,,,,,,,,Research,Yes,400
247,Phase 08,Phase 25,Supporting Content,Adoption Supporting Content,Situational Content,Transracial Adoption Considerations,,.com/{state}/adoption/transracial/,transracial adoption pros and cons,,,,,,,,,,,,,,,,,,,,Research,Yes,250
248,Phase 10,Phase 25,Supporting Content,Adoption Supporting Content,Situational Content,Transcultural Adoption Considerations,,.com/{state}/adoption/transcultural/,transcultural adoption,,,,,,,,,,,,,,,,,,,,Research,Yes,90
249,Phase 10,Phase 13,Supporting Content,Adoption Supporting Content,Legal Description Content,Parental Rights & Consent in {state},,.com/{state}/adoption/parental-rights-consent/,parental consent for adoption in {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,120
250,Phase 04,Phase 13,Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Laws in {state},,.com/{state}/adoption/laws/,{state} adoption laws,,,,,,,,,,,,,,,,,,,,Research,Yes,"1,300"
251,Phase 11,Phase 25,Supporting Content,Adoption Supporting Content,Legal Description Content,Interstate Compact on the Placement of Children (ICPC),,.com/{state}/adoption/interstate-compact/,ICPC adoption {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
252,Phase 10,Phase 25,Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Decree & Final Orders in {state},,.com/{state}/adoption/decree-final-orders/,final adoption decree {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
253,Phase 11,Phase 25,Supporting Content,Adoption Supporting Content,Legal Description Content,Adoption Assistance Agreements in {state},,.com/{state}/adoption/assistance-agreements/,adoption assistance {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,80
254,Phase 10,Phase 26,Supporting Content,Adoption Supporting Content,Legal Description Content,Legal Requirements for Open vs. Closed Adoptions in {state},,.com/{state}/adoption/open-vs-closed-requirements/,open vs closed adoption {state},,,,,,,,,,,,,,,,,,,,Research,Yes,110
255,Phase 11,Phase 26,Supporting Content,Adoption Supporting Content,Legal Description Content,Post-Adoption Contact Agreements in {state},,.com/{state}/adoption/post-adoption-contact/,post adoption contact agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,60
256,Phase 10,Phase 22,Supporting Content,Prenup Supporting Content,Procedure Content,Enforcing Prenuptial Agreements in {state},,.com/{state}/prenup-postnup/enforcing-prenuptial-agreements/,enforce prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Purchase,No,90
257,Phase 11,Phase 22,Supporting Content,Prenup Supporting Content,Procedure Content,Challenging a Prenuptial Agreement in {state},,.com/{state}/prenup-postnup/challenging-prenuptial-agreement/,contesting prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Purchase,No,60
258,Phase 09,Phase 22,Supporting Content,Prenup Supporting Content,Procedure Content,Prenuptial Agreement Drafting in {state},,.com/{state}/prenup-postnup/prenuptial-agreement-drafting/,prenuptial agreement lawyer {state},,,,,,,,,,,,,,,,,,,,Purchase,No,150
259,Phase 08,Phase 10,Supporting Content,Prenup Supporting Content,Situational Content,How to Start Talking about Prenuptial Agreements,,.com/{state}/prenup-postnup/talking-about-prenuptial-agreements/,how to talk about prenuptial agreements,,,,,,,,,,,,,,,,,,,,Research,Yes,250
260,Phase 12,Phase 29,Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Negotiation Tips in {state},,.com/{state}/prenup-postnup/prenuptial-negotiation-tips/,prenuptial agreement negotiation {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
261,Phase 11,Phase 30,Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for High-Net-Worth Couples in {state},,.com/{state}/prenup-postnup/prenups-high-net-worth/,high net worth prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,50
262,Phase 11,Phase 30,Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for Entrepreneurs & Business Owners in {state},,.com/{state}/prenup-postnup/prenups-entrepreneurs-family-business/,prenuptial agreement business owner {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,70
263,Phase 12,Phase 28,Supporting Content,Prenup Supporting Content,Situational Content,Prenuptial Agreements for Same-Sex Couples in {state},,.com/{state}/prenup-postnup/prenups-same-sex-couples/,same sex prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,30
264,Phase 12,Phase 29,Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Young Professionals in {state},,.com/{state}/prenup-postnup/prenups-young-professionals/,prenuptial agreement young couples {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,20
265,Phase 12,Phase 31,Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Military Families in {state},,.com/{state}/prenup-postnup/prenups-military-families/,military prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,40
266,Phase 12,Phase 29,Supporting Content,Prenup Supporting Content,Situational Content,Prenups for Couples with Significant Age Gaps in {state},,.com/{state}/prenup-postnup/prenups-age-gaps/,age gap prenuptial agreement {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,10
267,Phase 12,Phase 32,Supporting Content,Prenup Supporting Content,Situational Content,Insuring Prenup Obligations in {state},,.com/{state}/prenup-postnup/insuring-prenup-obligations/,prenuptial agreement insurance {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,10
268,Phase 09,Phase 13,Supporting Content,Prenup Supporting Content,Legal Description Content,Prenuptial Agreement Laws in {state},,.com/{state}/prenup-postnup/laws/,what is a prenuptial agreement in {state},,,,,,,,,,,,,,,,,,,,Research,Yes,200
269,Phase 10,Phase 27,Supporting Content,Prenup Supporting Content,Legal Description Content,History of Prenups,,.com/{state}/prenup-postnup/history-of-prenups/,history of prenuptial agreements,,,,,,,,,,,,,,,,,,,,Research,Yes,90
270,Phase 11,Phase 27,Supporting Content,Prenup Supporting Content,Legal Description Content,Prenup vs Postnups in {state},,.com/{state}/prenup-postnup/prenup-vs-postnup/,prenup vs postnup {state},,,,,,,,,,,,,,,,,,,,Research,Yes,70
271,Phase 09,Phase 27,Supporting Content,Prenup Supporting Content,Legal Description Content,Uniform Premarital Agreement Act (UPAA),,.com/{state}/prenup-postnup/uniform-premarital-agreement-act/,uniform premarital agreement act,,,,,,,,,,,,,,,,,,,,Research,Yes,170
272,Phase 10,Phase 29,Supporting Content,Prenup Supporting Content,Legal Description Content,Prenuptial Laws in {state},,.com/{state}/prenup-postnup/prenuptial-laws/,{state} prenuptial agreement laws,,,,,,,,,,,,,,,,,,,,Research,Yes,120
273,Phase 11,Phase 32,Supporting Content,Prenup Supporting Content,Legal Description Content,Key Provisions of Prenuptial Agreements in {state},,.com/{state}/prenup-postnup/key-provisions-prenups/,prenuptial agreement clauses {state},,,,,,,,,,,,,,,,,,,,Commercial,Yes,60
274,Phase 02,,Brand Content,Brand Supporting Content,Review Hub Page,Reviews | {brand},,.com/{state}/reviews/,{brand} reviews,,,,,,,,,,,,,,,,,,,,Purchase,No,80
275,Phase 02,,Brand Content,Brand Supporting Content,Blog Hub Page,Family Law Blog | {brand},,.com/{state}/blog/,{brand} family law blog,,,,,,,,,,,,,,,,,,,,Research,No,0
276,Phase 02,Phase 1,Brand Content,Brand Supporting Content,About / Firm Story,Our Story | {brand},,.com/our-story/,{brand} story,,,,,,,,,,,,,,,,,,,,,,
277,Phase 02,,Brand Content,Brand Supporting Content,Privacy Policy,Privacy Policy,,.com/privacy-policy/,{brand} privacy policy,,,,,,,,,,,,,,,,,,,,,,
278,Phase 02,,Brand Content,Brand Supporting Content,Terms of Service,Terms of Service,,.com/terms-of-service/,{brand} terms of service,,,,,,,,,,,,,,,,,,,,,,
279,Phase 02,,Brand Content,Brand Supporting Content,Awards,Awards | {brand},,.com/awards/,{brand} awards,,,,,,,,,,,,,,,,,,,,,,
280,Phase 02,,Brand Content,Brand Supporting Content,In the News,In the News | {brand},,.com/news/,{brand} news,,,,,,,,,,,,,,,,,,,,,,
281,Phase 02,Phase 1,Brand Content,Brand Supporting Content,Careers,Careers | {brand},,.com/careers/,{brand} careers,,,,,,,,,,,,,,,,,,,,,,
282,Phase 03,Phase 3,Tools / Resources Pages,Child Support Supporting Content,Child Support Calculator,{year} {state} Child Support Calculator,,.com/{state}/child-support/calculator/,{state} child support calculator,,,,,,,,,,,,,,,,,,,,Commercial,Yes,"9,900"
283,Phase 03,Phase 22,Tools / Resources Pages,Alimony Supporting Content,Alimony Calculator,{year} {state} Alimony Calculator,,.com/{state}/alimony/calculator/,{state} alimony calculator,,,,,,,,,,,,,,,,,,,,Commercial,Yes,"1,000"
284,Phase 03,Phase 17,Tools / Resources Pages,Property Division Supporting Content,Property Division Worksheet,{state} Property Division Worksheet,,.com/{state}/property-division/worksheet/,{state} divorce property division worksheet,,,,,,,,,,,,,,,,,,,,Commercial,Yes,150
285,Phase 03,Phase 4,Tools / Resources Pages,Child Custody Supporting Content,Parenting Plan Template,{state} Parenting Plan Template,,.com/{state}/child-custody/parenting-plans/template,{state} parenting plan template,,,,,,,,,,,,,,,,,,,,Commercial,Yes,300
286,Phase 03,Phase 2,Tools / Resources Pages,Divorce Supporting Content,DIY Divorce Forms,{state} DIY Divorce Forms,,.com/{state}/divorce/forms-diy/,{state} diy divorce forms,,,,,,,,,,,,,,,,,,,,Purchase,No,500
287,Phase 13,,Event Pages,Events,Hub Page,{year} {state} Family Law Education Events,,.com/{state}/events/,{state} family law education events,,,,,,,,,,,,,,,,,,,,Commercial,No,0
288,Phase 13,,Event Pages,Events,Recorded Webinars,{year} {state} Divorce Webinar,,.com/{state}/events/{webinar1},{state} divorce webinar,,,,,,,,,,,,,,,,,,,,Commercial,No,10
289,Phase 13,,Event Pages,Events,Recorded Webinars,{year} {state} Co-Parenting Webinar,,.com/{state}/events/{webinar2},{state} co-parenting webinar,,,,,,,,,,,,,,,,,,,,Commercial,No,0
290,Phase 13,,Event Pages,Events,Live Workshops (Seminars),{year} {state} Divorce Seminar (Workshop),,.com/{state}/events/{workshop1},{state} divorce seminar,,,,,,,,,,,,,,,,,,,,Commercial,No,10
291,Phase 13,,Event Pages,Events,Live Workshops (Seminars),{year} {state} Co-Parenting Seminar (Workshop),,.com/{state}/events/{workshop2},{state} co-parenting seminar,,,,,,,,,,,,,,,,,,,,Commercial,No,0
